Id,q_amplicon,Phylum,Class,Order,Family,Genus,Species
4464,ASV 4464: Micromonospora,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora
4465,ASV 4465: Micromonospora,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora
4466,ASV 4466: Micromonosporaceae,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonosporaceae,Micromonosporaceae
4467,ASV 4467: Asanoa,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Asanoa,Asanoa
4468,ASV 4468: Dactylosporangium,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,Dactylosporangium
4469,ASV 4469: Micromonosporaceae,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonosporaceae,Micromonosporaceae
4470,ASV 4470: Dactylosporangium,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,Dactylosporangium
4471,ASV 4471: Actinoplanes,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes
4472,ASV 4472: Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
4473,ASV 4473: Nakamurella,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,Nakamurella
4474,ASV 4474: Nakamurella,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,Nakamurella
4475,ASV 4475: Nakamurella,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,Nakamurella
4476,ASV 4476: Longivirga,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Longivirga,Longivirga
4477,ASV 4477: Longivirga,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Longivirga,Longivirga
4478,ASV 4478: PeM15,Actinobacteriota,Actinobacteria,PeM15,PeM15,PeM15,PeM15
4479,ASV 4479: PeM15,Actinobacteriota,Actinobacteria,PeM15,PeM15,PeM15,PeM15
4480,ASV 4480: hgcI_clade,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,hgcI_clade
4481,ASV 4481: hgcI_clade,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,hgcI_clade
4482,ASV 4482: Jatrophihabitans,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Jatrophihabitans
4483,ASV 4483: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4484,ASV 4484: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4485,ASV 4485: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4486,ASV 4486: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4487,ASV 4487: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4488,ASV 4488: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4489,ASV 4489: Rhodococcus_coprophilus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_coprophilus
4490,ASV 4490: Corynebacterium,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium
4491,ASV 4491: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4492,ASV 4492: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4493,ASV 4493: Rhodococcus_coprophilus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_coprophilus
