"AverageShortestPathLength","BetweennessCentrality","Class","Class_mod","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","Hub","IsSingleNode","label","mv","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","RA","Radiality","selected","SelfLoops","shared name","Species","Stress","TopologicalCoefficient"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1719_Legionella","0","ASV1719_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1719_Legionella","Legionella","0","0.0"
"3.94","0.0","Gammaproteobacteria","Gammaproteobacteria","0.25380710659898476","0.0","1","7","Legionellaceae","Legionella","","false","ASV1720_Legionella","0","ASV1720_Legionella","7.0","0","1","Legionellales","0","Proteobacteria",,"0.804","false","0","ASV1720_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1721_Legionella","0","ASV1721_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1721_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1722_Legionella","0","ASV1722_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1722_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1723_Legionella","0","ASV1723_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1723_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1724_Legionella","0","ASV1724_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1724_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1725_Legionella","0","ASV1725_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1725_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1726_Legionella","0","ASV1726_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1726_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1727_Legionella","0","ASV1727_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1727_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1728_Legionella","0","ASV1728_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1728_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1729_Legionella","0","ASV1729_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1729_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1730_Legionella","0","ASV1730_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1730_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1731_Legionella","0","ASV1731_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1731_Legionella","Legionella","0","0.0"
